标题,作者,出版商,出版刊物名称,出版时间,被引频次,180天内使用次数,2013年以来使用次数
MicroRNA-155 Targets SMAD2 and Modulates the Response of Macrophages to Transforming Growth Factor-beta,Louafi_ Fethi; Martinez-Nunez_ Rocio T.; Sanchez-Elsner_ Tilman</div>,AMER SOC BIOCHEMISTRY MOLECULAR BIOLOGY INC_ 9650 ROCKVILLE PIKE_ BETHESDA_ MD 20814-3996 USA,JOURNAL OF BIOLOGICAL CHEMISTRY,DEC 31 2010,76,3,12
Observations of the relationship between frequency sweep rates of chorus wave packets and plasma density,Macusova_ E.; Santolik_ O.; Decreau_ P.; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,DEC 31 2010,18,1,7
Stability and Membrane Orientation of the Fukutin Transmembrane Domain: A Combined Multiscale Molecular Dynamics and Circular Dichroism Study,Holdbrook_ Daniel A.; Leung_ Yuk Ming; Piggot_ Thomas J.; 等,AMER CHEMICAL SOC_ 1155 16TH ST_ NW_ WASHINGTON_ DC 20036 USA,BIOCHEMISTRY,DEC 28 2010,11,1,12
Interannual variability of Arctic sea ice export into the East Greenland Current,Cox_ K. A.; Stanford_ J. D.; McVicar_ A. J.; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,DEC 28 2010,6,1,19
Saturation of absorption in noble metal doped nanocomposite glass film excited by evanescent light field,Corbari_ Costantino; Beresna_ Martynas; Kazansky_ Peter G,AMER INST PHYSICS_ CIRCULATION &amp; FULFILLMENT DIV_ 2 HUNTINGTON QUADRANGLE_ STE 1 N O 1_ MELVILLE_ NY 11747-4501 USA,APPLIED PHYSICS LETTERS,DEC 27 2010,6,4,13
Magnetoresistance in a lithography defined single constrained domain wall spin-valve,Wang_ Yudong; de Groot_ C. H.; Claudio-Gonzalez_ D.; 等,AMER INST PHYSICS_ CIRCULATION &amp; FULFILLMENT DIV_ 2 HUNTINGTON QUADRANGLE_ STE 1 N O 1_ MELVILLE_ NY 11747-4501 USA,APPLIED PHYSICS LETTERS,DEC 27 2010,8,3,13
Electrodeposition and tribological characterisation of nickel nanocomposite coatings reinforced with nanotubular titanates,Low_ C. T. J.; Bello_ J. O.; Wharton_ J. A.; 等,ELSEVIER SCIENCE SA_ PO BOX 564_ 1001 LAUSANNE_ SWITZERLAND,SURFACE &amp; COATINGS TECHNOLOGY,DEC 25 2010,7,2,7
Benthic foraminiferal oxygen isotope offsets over the last glacial-interglacial cycle,Hoogakker_ Babette; Elderfield_ Henry; Oliver_ Kevin; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,PALEOCEANOGRAPHY,DEC 24 2010,2,2,14
Oxidative modification of albumin in the parenchymal lung tissue of current smokers with chronic obstructive pulmonary disease,Hackett_ Tillie L.; Scarci_ Marco; Zheng_ Lu; 等,BIOMED CENTRAL LTD_ 236 GRAYS INN RD_ FLOOR 6_ LONDON WC1X 8HL_ ENGLAND,RESPIRATORY RESEARCH,DEC 22 2010,15,1,4
Total Anomalous Pulmonary Venous Connection Morphology and Outcome From an International Population-Based Study,Seale_ Anna N.; Uemura_ Hideki; Webber_ Steven A.; 等,LIPPINCOTT WILLIAMS &amp; WILKINS_ 530 WALNUT ST_ PHILADELPHIA_ PA 19106-3621 USA,CIRCULATION,DEC 21 2010,33,1,5
Quantifying the importance of ram-pressure stripping in a galaxy group at 100 Mpc,Freeland_ E.; Sengupta_ C.; Croston_ J. H,WILEY-BLACKWELL_ COMMERCE PLACE_ 350 MAIN ST_ MALDEN 02148_ MA USA,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,DEC 21 2010,3,1,5
Passively harmonically mode-locked vertical-external-cavity surface-emitting laser emitting 1.1 ps pulses at 147 GHz repetition rate,Quarterman_ A. H.; Perevedentsev_ A.; Wilcox_ K. G.; 等,AMER INST PHYSICS_ CIRCULATION &amp; FULFILLMENT DIV_ 2 HUNTINGTON QUADRANGLE_ STE 1 N O 1_ MELVILLE_ NY 11747-4501 USA,APPLIED PHYSICS LETTERS,DEC 20 2010,15,1,10
On the forced response of waveguides using the wave and finite element method,Renno_ Jamil M.; Mace_ Brian R,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD_ 24-28 OVAL RD_ LONDON NW1 7DX_ ENGLAND,JOURNAL OF SOUND AND VIBRATION,DEC 20 2010,27,3,7
Mirrorless buried waveguide laser in monoclinic double tungstates fabricated by a novel combination of ion milling and liquid phase epitaxy,Bolanos_ Western; Carvajal_ Joan J.; Mateos_ Xavier; 等,OPTICAL SOC AMER_ 2010 MASSACHUSETTS AVE NW_ WASHINGTON_ DC 20036 USA,OPTICS EXPRESS,DEC 20 2010,15,1,6
In situ stress state in the Nankai accretionary wedge estimated from borehole wall failures,Chang_ Chandong; McNeill_ Lisa C.; Moore_ J. Casey; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,DEC 16 2010,34,3,12
Using multispectral optical observations to identify the acceleration mechanism responsible for flickering aurora,Whiter_ D. K.; Lanchester_ B. S.; Gustavsson_ B.; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,DEC 16 2010,9,0,3
Numeric description of space charge in polyethylene under ac electric fields,Zhao_ J.; Xu_ Z.; Chen_ G.; 等,AMER INST PHYSICS_ CIRCULATION &amp; FULFILLMENT DIV_ 2 HUNTINGTON QUADRANGLE_ STE 1 N O 1_ MELVILLE_ NY 11747-4501 USA,JOURNAL OF APPLIED PHYSICS,DEC 15 2010,6,5,13
Wide Bandwidth Experimental Study of Nondegenerate Phase-Sensitive Amplifiers in Single- and Dual-Pump Configurations,Kakande_ Joseph; Parmigiani_ Francesca; Ibsen_ Morten; 等,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC_ 445 HOES LANE_ PISCATAWAY_ NJ 08855-4141 USA,IEEE PHOTONICS TECHNOLOGY LETTERS,DEC 15 2010,2,1,5
Biodegradable poly(alpha-hydroxy ester) blended microspheres as suitable carriers for retinal pigment epithelium cell transplantation,Thomson_ H. A.; Treharne_ A. J.; Backholer_ L. S.; 等,WILEY-LISS_ DIV JOHN WILEY &amp; SONS INC_ 111 RIVER ST_ HOBOKEN_ NJ 07030 USA,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,DEC 15 2010,9,1,15
Development_ validation and application of ELISAs for pharmacokinetic and HACA assessment of a chimeric anti-CD40 monoclonal antibody in human serum,Chowdhury_ F.; Tutt_ A. L.; Chan_ C.; 等,ELSEVIER SCIENCE BV_ PO BOX 211_ 1000 AE AMSTERDAM_ NETHERLANDS,JOURNAL OF IMMUNOLOGICAL METHODS,DEC 15 2010,3,0,5
Hydrothermal sediments record changes in deep water oxygen content in the SE Pacific,Mills_ Rachel A.; Taylor_ Sarah L.; Paelike_ Heiko; 等,AMER GEOPHYSICAL UNION_ 2000 FLORIDA AVE NW_ WASHINGTON_ DC 20009 USA,PALEOCEANOGRAPHY,DEC 15 2010,4,2,12
First-line treatment with zoledronic acid as compared with clodronic acid in multiple myeloma (MRC Myeloma IX): a randomised controlled trial,Morgan_ Gareth J.; Davies_ Faith E.; Gregory_ Walter M.; 等,ELSEVIER SCIENCE INC_ 360 PARK AVE SOUTH_ NEW YORK_ NY 10010-1710 USA,LANCET,DEC 11 2010,204,0,10
Effect of mitoxantrone on outcome of children with first relapse of acute lymphoblastic leukaemia (ALL R3): an open-label randomised trial,Parker_ Catriona; Waters_ Rachel; Leighton_ Carly; 等,ELSEVIER SCIENCE INC_ 360 PARK AVE SOUTH_ NEW YORK_ NY 10010-1710 USA,LANCET,DEC 11 2010,58,3,11
Discovery of the 51.47-d orbital period in the supergiant fast X-ray transient XTE J1739-302 with INTEGRAL,Drave_ S. P.; Clark_ D. J.; Bird_ A. J.; 等,WILEY-BLACKWELL_ COMMERCE PLACE_ 350 MAIN ST_ MALDEN 02148_ MA USA,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,DEC 11 2010,15,0,2
IGR J16328-4726: A NEW CANDIDATE SUPERGIANT FAST X-RAY TRANSIENT,Fiocchi_ M.; Sguera_ V.; Bazzano_ A.; 等,IOP PUBLISHING LTD_ TEMPLE CIRCUS_ TEMPLE WAY_ BRISTOL BS1 6BE_ ENGLAND,ASTROPHYSICAL JOURNAL LETTERS,DEC 10 2010,7,0,3
Six-Colour HyBeacon Probes for Multiplex Genetic Analysis,Richardson_ James A.; Gerowska_ Marta; Shelbourne_ Montserrat; 等,WILEY-V C H VERLAG GMBH_ PO BOX 10 11 61_ D-69451 WEINHEIM_ GERMANY,CHEMBIOCHEM,DEC 10 2010,18,5,27
Towards open science: the myExperiment approach,De Roure_ David; Goble_ Carole; Aleksejevs_ Sergejs; 等,JOHN WILEY &amp; SONS LTD_ THE ATRIUM_ SOUTHERN GATE_ CHICHESTER PO19 8SQ_ W SUSSEX_ ENGLAND,CONCURRENCY AND COMPUTATION-PRACTICE &amp; EXPERIENCE,DEC 10 2010,7,2,12
Toroidal Dipolar Response in a Metamaterial,Kaelberer_ T.; Fedotov_ V. A.; Papasimakis_ N.; 等,AMER ASSOC ADVANCEMENT SCIENCE_ 1200 NEW YORK AVE_ NW_ WASHINGTON_ DC 20005 USA,SCIENCE,DEC 10 2010,87,10,54
